journey_id,train_no,segment,station_from,station_to,day_of_week,time_of_day,season,weather_flag,trains_ahead,delay_at_entry,delay_at_exit
1,13028,NHT-RPH,NHT,RPH,2,525.62,winter,clear,3,0.0,4.03
1,13028,RPH-SNT,RPH,SNT,2,552.47,winter,clear,3,4.03,10.25
1,13028,SNT-AMP,SNT,AMP,2,576.04,winter,clear,3,10.25,11.75
1,13028,AMP-BHP,AMP,BHP,2,592.03,winter,clear,3,11.75,13.33
1,13028,BHP-BWN,BHP,BWN,2,606.75,winter,clear,3,13.33,19.65
1,13028,BWN-BDC,BWN,BDC,2,687.45,winter,clear,3,19.65,26.95
1,13028,BDC-HWH,BDC,HWH,2,759.9,winter,clear,3,26.95,25.2
2,13028,NHT-RPH,NHT,RPH,6,526.43,autumn,clear,1,0.0,5.5
2,13028,RPH-SNT,RPH,SNT,6,548.92,autumn,clear,1,5.5,9.82
2,13028,SNT-AMP,SNT,AMP,6,575.59,autumn,clear,1,9.82,11.92
2,13028,AMP-BHP,AMP,BHP,6,584.42,autumn,clear,1,11.92,11.32
2,13028,BHP-BWN,BHP,BWN,6,604.67,autumn,clear,1,11.32,9.25
2,13028,BWN-BDC,BWN,BDC,6,688.09,autumn,clear,1,9.25,15.46
2,13028,BDC-HWH,BDC,HWH,6,755.94,autumn,clear,1,15.46,23.29
3,13028,NHT-RPH,NHT,RPH,4,526.64,monsoon,cloudy,1,6.1,14.16
3,13028,RPH-SNT,RPH,SNT,4,555.65,monsoon,cloudy,1,14.16,18.86
3,13028,SNT-AMP,SNT,AMP,4,571.32,monsoon,cloudy,1,18.86,22.68
3,13028,AMP-BHP,AMP,BHP,4,588.99,monsoon,cloudy,1,22.68,21.26
3,13028,BHP-BWN,BHP,BWN,4,604.85,monsoon,cloudy,1,21.26,26.69
3,13028,BWN-BDC,BWN,BDC,4,688.38,monsoon,cloudy,1,26.69,34.09
3,13028,BDC-HWH,BDC,HWH,4,762.88,monsoon,cloudy,1,34.09,42.03
4,13028,NHT-RPH,NHT,RPH,4,525.4,winter,rain,4,0.0,6.24
4,13028,RPH-SNT,RPH,SNT,4,557.25,winter,rain,4,6.24,13.77
4,13028,SNT-AMP,SNT,AMP,4,574.9,winter,rain,4,13.77,20.6
